url,headline,img_path
/en/news-in-english/19/2941352/baltic-leaders-meet-von-der-leyen-urge-eu-actions-not-words-over-drone-incursions,"Baltic leaders meet von der Leyen, urge EU actions not words over drone incursions",/img/2026/05/26/2398946-16134-393x221.jpg
/en/news-in-english/19/2941322/lithuania-mulls-buying-israeli-elbit-drone-detection-system,Lithuania mulls buying Israeli Elbit drone detection system,/img/2026/03/02/2330889-439158-393x221.jpg
/en/news-in-english/19/2942093/nato-to-beef-up-assigned-forces-to-defend-baltics-reuters,NATO to beef up assigned forces to defend Baltics – Reuters,/img/2026/03/07/2338766-805850-615x345.jpg
/en/news-in-english/19/2941083/lithuania-warns-belarus-fertiliser-transit-would-undermine-eu-sanctions,Lithuania warns Belarus fertiliser transit would undermine EU sanctions,/img/2021/11/24/1134123-23328-615x345.jpg
/en/news-in-english/19/2939366/us-asks-lithuania-poland-ukraine-to-allow-belarusian-fertiliser-exports,"US asks Lithuania, Poland, Ukraine to allow Belarusian fertiliser exports",/img/2021/12/01/1147240-668905-615x345.jpg
/en/news-in-english/19/2939309/russia-redirecting-ukrainian-drones-toward-baltic-states-media,Russia redirecting Ukrainian drones toward Baltic states – media,/img/2026/04/10/2364696-168758-615x345.jpg
/en/news-in-english/19/2939259/people-in-lithuania-work-the-least-weekends-in-eu,People in Lithuania work the least weekends in EU,/img/2021/04/22/952787-936420-615x345.jpg
/en/news-in-english/19/2932283/brussels-approves-eur153m-in-additional-funding-for-lithuania,Brussels approves €153m in additional funding for Lithuania,/img/2026/03/28/2355899-379958-615x345.jpg
/en/news-in-english/19/2932132/lithuania-risks-breaching-eu-fiscal-rules-as-defence-spending-mounts,Lithuania risks breaching EU fiscal rules as defence spending mounts,/img/2022/09/22/1348436-818889-615x345.jpg
/en/news-in-english/19/2929368/klaipeda-port-to-invest-over-eur70m-in-cruise-terminal-port-building,"Klaipėda Port to invest over €70m in cruise terminal, port building",/img/2020/02/19/605893-727848-615x345.jpg
/en/news-in-english/19/2941229/lithuania-to-host-2028-world-junior-figure-skating-championships,Lithuania to host 2028 World Junior Figure Skating Championships,/img/2026/05/26/2398653-692919-615x345.jpg
/en/news-in-english/19/2941159/lithuania-cyber-attacks-fall-overall-but-breaches-in-organisations-nearly-double,"Lithuania cyber attacks fall overall, but breaches in organisations nearly double",/img/2023/08/01/1561977-88877-615x345.jpg
/en/news-in-english/19/2919129/history-buried-under-sand-the-nazi-coastal-battery-on-a-lithuanian-beach,History buried under sand: the Nazi coastal battery on a Lithuanian beach,/img/2026/03/04/2336104-918234-615x345.jpg
/en/news-in-english/19/2926292/the-hardest-thing-is-the-language-indian-citizens-face-integration-hurdles-in-lithuania,‘The hardest thing is the language’: Indian citizens face integration hurdles in Lithuania,/img/2026/05/04/2381478-425194-615x345.jpg
/en/news-in-english/19/2936111/lithuania-alarmed-over-drone-threat-the-system-must-operate-as-if-it-were-wartime,Lithuania alarmed over drone threat: 'the system must operate as if it were wartime',/img/2026/05/20/2394521-349202-615x345.jpg
/en/news-in-english/19/2927091/the-lithuanian-chef-who-conquered-the-world-of-sushi,The Lithuanian chef who conquered the world of sushi,/img/2023/12/06/1655469-16012-615x345.png
/en/news-in-english/19/2936128/a-stranger-from-belarus-and-a-forest-full-of-cigarettes-a-portrait-of-balloon-smugglers,A stranger from Belarus and a forest full of cigarettes: a portrait of balloon smugglers,/img/2025/10/02/2200527-312043-615x345.jpg
/en/news-in-english/19/2936263/unjammable-drones-pioneered-in-ukraine-emerge-in-middle-east-war,'Unjammable' drones pioneered in Ukraine emerge in Middle East war,/img/2025/11/14/2240425-676690-615x345.jpg
